Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.751202,0.763722,0.743690,0.748698,0.125014,2156500
1962-01-03,0.744942,0.744942,0.738682,0.741186,0.123760,1477600
1962-01-04,0.741186,0.747446,0.726162,0.732422,0.122297,1837000
1962-01-05,0.732422,0.733674,0.701122,0.713642,0.119161,2725600
1962-01-08,0.713642,0.713642,0.691106,0.712390,0.118952,3095000
1962-01-09,0.712390,0.722406,0.707382,0.716146,0.119579,2326200
1962-01-10,0.716146,0.723658,0.713642,0.719902,0.120206,1956800
1962-01-11,0.719902,0.721154,0.707382,0.721154,0.120415,1627300
1962-01-12,0.721154,0.722406,0.708634,0.711138,0.118743,1687200
1962-01-15,0.712390,0.721154,0.712390,0.718650,0.119997,2116600
1962-01-16,0.718650,0.727414,0.713642,0.724910,0.121042,1387700
1962-01-17,0.723658,0.723658,0.703626,0.708634,0.118325,2136500
1962-01-18,0.708634,0.716146,0.707382,0.716146,0.119579,1477600
1962-01-19,0.716146,0.722406,0.716146,0.722406,0.120624,1327800
1962-01-22,0.723658,0.733674,0.723658,0.724910,0.121042,1417700
1962-01-23,0.722406,0.722406,0.708634,0.711138,0.118743,2276300
1962-01-24,0.711138,0.727414,0.708634,0.724910,0.121042,1597400
1962-01-25,0.724910,0.729918,0.712390,0.717398,0.119788,1587400
1962-01-26,0.717398,0.718650,0.712390,0.714894,0.119370,1008300
1962-01-29,0.714894,0.718650,0.713642,0.716146,0.119579,1018300
1962-01-30,0.724910,0.736178,0.724910,0.728666,0.121670,1777100
1962-01-31,0.728666,0.751202,0.727414,0.751202,0.125432,1876900
1962-02-01,0.751202,0.754958,0.738682,0.746194,0.124596,2565800
1962-02-02,0.746194,0.749950,0.741186,0.749950,0.125223,1477600
1962-02-05,0.748698,0.748698,0.736178,0.736178,0.122924,1407700
1962-02-06,0.738682,0.746194,0.738682,0.743690,0.124178,1038300
1962-02-07,0.743690,0.751202,0.741186,0.751202,0.125432,1687200
1962-02-08,0.751202,0.756210,0.749950,0.756210,0.126269,1757100
1962-02-09,0.756210,0.756210,0.742438,0.752454,0.125642,1507500
1962-02-12,0.752454,0.754958,0.748698,0.752454,0.125642,818600
1962-02-13,0.753706,0.761218,0.753706,0.761218,0.127105,1208000
1962-02-14,0.761218,0.769982,0.759966,0.767478,0.128150,1617400
1962-02-15,0.768730,0.781250,0.768730,0.778746,0.130032,1867000
1962-02-16,0.778746,0.779998,0.767478,0.773738,0.129195,2336200
